strategy,symbol,signal_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_bars,state,score
SMT_SCORE_RS_QUALITY,HDB,2022-04-01,2022-04-04,2022-05-05,12.18,10.24,-15.927750410509027,20,NEUTRAL,75.35714285714286
SMT_SCORE_RS_QUALITY,BVH,2022-04-01,2022-04-04,2022-05-05,56.09,56.18,0.16045640934212213,20,NEUTRAL,82.63265306122449
SMT_SCORE_RS_QUALITY,SAB,2022-04-04,2022-04-05,2022-05-06,66.51,66.91,0.6014133213050541,20,NEUTRAL,81.89795918367346
SMT_SCORE_RS_QUALITY,MBB,2022-04-06,2022-04-07,2022-05-10,15.14,12.2,-19.418758256274774,20,NEUTRAL,70.6919191919192
SMT_SCORE_RS_QUALITY,VPB,2022-04-06,2022-04-07,2022-05-10,23.55,19.56,-16.942675159235677,20,HOT_AND_EXHAUSTED,74.43686868686869
SMT_SCORE_RS_QUALITY,VIC,2022-04-13,2022-04-14,2022-05-16,40.8,38.5,-5.637254901960778,20,NEUTRAL,71.43181818181819
SMT_SCORE_RS_QUALITY,BCM,2022-04-15,2022-04-18,2022-05-18,74.96,70.98,-5.309498399146198,20,NEUTRAL,79.18686868686869
SMT_SCORE_RS_QUALITY,VJC,2022-04-19,2022-04-20,2022-05-20,142.8,125.3,-12.254901960784322,20,NEUTRAL,74.17929292929293
SMT_SCORE_RS_QUALITY,SSB,2022-04-20,2022-04-21,2022-05-23,23.13,21.16,-8.517077388672714,20,NEUTRAL,71.93181818181819
SMT_SCORE_RS_QUALITY,FPT,2022-04-26,2022-04-27,2022-05-27,51.57,56.75,10.044599573395384,20,NEUTRAL,77.73989898989899
SMT_SCORE_RS_QUALITY,MWG,2022-05-27,2022-05-30,2022-06-27,70.6,69.26,-1.8980169971671237,20,NEUTRAL,78.9419191919192
SMT_SCORE_RS_QUALITY,ACB,2022-05-27,2022-05-30,2022-06-27,15.01,14.05,-6.395736175882739,20,HOT_BUT_STRONG,81.45202020202021
SMT_SCORE_RS_QUALITY,FPT,2022-05-27,2022-05-30,2022-06-27,56.38,53.17,-5.693508336289466,20,HOT_BUT_STRONG,86.98484848484848
SMT_SCORE_RS_QUALITY,GAS,2022-05-30,2022-05-31,2022-06-28,74.31,77.8,4.696541515273846,20,NEUTRAL,70.19696969696969
SMT_SCORE_RS_QUALITY,POW,2022-06-07,2022-06-08,2022-07-06,12.65,10.58,-16.363636363636367,20,NEUTRAL,77.68686868686869
SMT_SCORE_RS_QUALITY,MSN,2022-06-10,2022-06-13,2022-07-11,112.27,102.5,-8.702235681838422,20,NEUTRAL,74.42929292929293
SMT_SCORE_RS_QUALITY,SSB,2022-06-20,2022-06-21,2022-07-19,21.92,23.31,6.341240875912395,20,NEUTRAL,73.42929292929293
SMT_SCORE_RS_QUALITY,VJC,2022-06-27,2022-06-28,2022-07-26,133.0,125.1,-5.939849624060154,20,HOT_BUT_STRONG,82.70202020202021
SMT_SCORE_RS_QUALITY,BVH,2022-06-28,2022-06-29,2022-07-27,48.8,50.22,2.9098360655737743,20,HOT_BUT_STRONG,82.73232323232324
SMT_SCORE_RS_QUALITY,BID,2022-06-29,2022-06-30,2022-07-28,25.39,26.48,4.2930287514769585,20,NEUTRAL,82.43434343434343
SMT_SCORE_RS_QUALITY,STB,2022-07-05,2022-07-06,2022-08-03,22.6,25.45,12.610619469026538,20,HOT_AND_EXHAUSTED,71.74747474747474
SMT_SCORE_RS_QUALITY,TCB,2022-07-05,2022-07-06,2022-08-03,17.72,18.02,1.6930022573363472,20,NEUTRAL,74.48232323232324
SMT_SCORE_RS_QUALITY,SHB,2022-07-13,2022-07-14,2022-08-11,7.85,7.91,0.7643312101910892,20,HOT_BUT_STRONG,78.46212121212122
SMT_SCORE_RS_QUALITY,CTG,2022-07-14,2022-07-15,2022-08-12,16.69,17.58,5.332534451767507,20,NEUTRAL,72.9570707070707
SMT_SCORE_RS_QUALITY,VIB,2022-07-22,2022-07-25,2022-08-22,13.07,12.56,-3.9020657995409316,20,NEUTRAL,76.48979591836735
SMT_SCORE_RS_QUALITY,BCM,2022-07-25,2022-07-26,2022-08-23,63.49,84.34,32.83981729406206,20,NEUTRAL,70.44949494949495
SMT_SCORE_RS_QUALITY,SAB,2022-07-26,2022-07-27,2022-08-24,67.02,74.69,11.444344971650258,20,NEUTRAL,85.19696969696969
