date,equity,cash,positions,gross_exposure,portfolio_run
2025-12-16,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-17,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-18,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-19,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-22,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-23,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-24,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-25,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-26,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-29,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-30,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-31,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2026-01-05,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2026-01-06,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2026-01-07,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2026-01-08,126884.17183350105,57101.17183350105,5,0.5499740353081242,leader_pullback_market_healthy
2026-01-09,128771.94873350105,83933.94873350105,3,0.3481969515953674,leader_pullback_market_healthy
2026-01-12,128487.84937350106,45155.849373501056,6,0.6485593805665031,leader_pullback_market_healthy
2026-01-13,130182.80693350107,45356.80693350106,8,0.6515914197742728,leader_pullback_market_healthy
2026-01-14,132813.17001350108,888.1700135010688,7,0.9933126359877504,leader_pullback_market_healthy
2026-01-15,137902.17001350108,888.1700135010688,7,0.9935594195985885,leader_pullback_market_healthy
2026-01-16,137205.19465350106,5934.19465350107,7,0.956749489926476,leader_pullback_market_healthy
2026-01-19,136510.1586135011,6913.158613501075,7,0.949357918240545,leader_pullback_market_healthy
2026-01-20,138724.10667350108,7291.106673501079,8,0.9474416750748208,leader_pullback_market_healthy
2026-01-21,138532.09917850108,8312.099178501081,8,0.9399987495476352,leader_pullback_market_healthy
2026-01-22,139701.28611250108,30191.286112501086,6,0.7838868420424697,leader_pullback_market_healthy
2026-01-23,135373.5592125011,53233.55921250109,3,0.6067654605362165,leader_pullback_market_healthy
2026-01-26,132003.5592125011,53233.55921250109,3,0.5967263342740251,leader_pullback_market_healthy
2026-01-27,132507.01385250108,107737.01385250108,2,0.1869335009509194,leader_pullback_market_healthy
2026-01-28,131937.01385250108,107737.01385250108,2,0.18342085585667703,leader_pullback_market_healthy
2026-01-29,131437.9214925011,115357.92149250109,1,0.12233912266268916,leader_pullback_market_healthy
2026-01-30,131577.28775250108,131577.28775250108,0,0.0,leader_pullback_market_healthy
2026-02-02,131577.28775250108,131577.28775250108,0,0.0,leader_pullback_market_healthy
2026-02-03,130651.3657925011,47531.36579250111,1,0.6361969467047911,leader_pullback_market_healthy
2026-02-04,129051.3657925011,47531.36579250111,1,0.6316864567793435,leader_pullback_market_healthy
2026-02-05,126731.3657925011,47531.36579250111,1,0.6249439474176833,leader_pullback_market_healthy
2026-02-06,125735.4441925011,125735.4441925011,0,0.0,leader_pullback_market_healthy
2026-02-09,125735.4441925011,125735.4441925011,0,0.0,leader_pullback_market_healthy
